longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.23,37.88,45.0540994127722,880.0,113.0,322.0,126.0,8.3252,452600.0,NEAR BAY
-122.22,37.86,19.71981135435493,7099.0,969.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY
-122.24,37.85,49.94906889633464,1467.0,186.0,496.0,177.0,7.2574,352100.0,NEAR BAY
-122.25,37.85,52.0,1274.0,275.0,558.0,219.0,5.6431,341300.0,NEAR BAY
-122.25,37.85,52.0,1627.0,244.0,565.0,259.0,3.8462,342200.0,NEAR BAY
-122.25,37.85,52.0,919.0,234.0,413.0,193.0,4.0368,269700.0,NEAR BAY
-122.25,37.84,52.0,2535.0,585.0,1094.0,514.0,3.6591,299200.0,NEAR BAY
-122.25,37.84,52.0,3104.0,771.0,1157.0,647.0,3.12,241400.0,NEAR BAY
-122.26,37.84,43.25211471929669,2555.0,759.0,1206.0,595.0,2.0804,226700.0,NEAR BAY
-122.25,37.84,52.0,3549.0,704.0,1551.0,714.0,3.6912,261100.0,NEAR BAY
-122.26,37.85,51.4613142099613,2202.0,511.0,910.0,402.0,3.2031,281500.0,NEAR BAY
-122.26,37.85,52.0,3503.0,811.0,1504.0,734.0,3.2705,241800.0,NEAR BAY
-122.26,37.85,52.0,2491.0,572.0,1098.0,468.0,3.075,213500.0,NEAR BAY
-122.26,37.84,47.77581265592439,696.0,221.0,345.0,174.0,2.6736,191300.0,NEAR BAY
-122.26,37.85,52.0,2643.0,692.0,1212.0,620.0,1.9167,159200.0,NEAR BAY
-122.26,37.85,52.0,1120.0,342.0,697.0,264.0,2.125,140000.0,NEAR BAY
-122.27,37.85,49.3723924958955,1966.0,298.0,793.0,331.0,2.775,152500.0,NEAR BAY
-122.27,37.85,49.2808728299174,1228.0,321.0,648.0,303.0,2.1202,155500.0,NEAR BAY
-122.26,37.84,51.9101678599439,2239.0,559.0,990.0,419.0,1.9911,158700.0,NEAR BAY
-122.27,37.84,52.0,1503.0,299.0,690.0,275.0,2.6033,162900.0,NEAR BAY
